DEBUG 2025-07-18 20:04:41,423 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1752842011.903209
DEBUG 2025-07-18 20:04:41,424 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework_simplejwt\models.py first seen with mtime 1752842037.6724787
DEBUG 2025-07-18 20:04:41,424 autoreload File C:\Python 3.11.9\Lib\asyncio\queues.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,425 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1752842007.5044103
DEBUG 2025-07-18 20:04:41,425 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1752842000.4869628
DEBUG 2025-07-18 20:04:41,426 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\migrations\recorder.py first seen with mtime 1752842012.0767856
DEBUG 2025-07-18 20:04:41,426 autoreload File C:\Python 3.11.9\Lib\json\scanner.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,427 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1752842009.405463
DEBUG 2025-07-18 20:04:41,428 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\idna\intranges.py first seen with mtime 1752842003.5265524
DEBUG 2025-07-18 20:04:41,428 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\unfold\views.py first seen with mtime 1752842032.645149
DEBUG 2025-07-18 20:04:41,429 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1752842007.5203822
DEBUG 2025-07-18 20:04:41,429 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\template\backends\base.py first seen with mtime 1752842012.2291412
DEBUG 2025-07-18 20:04:41,430 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\urls\base.py first seen with mtime 1752842012.253387
DEBUG 2025-07-18 20:04:41,430 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1752842012.0792904
DEBUG 2025-07-18 20:04:41,431 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\http\cookie.py first seen with mtime 1752842012.2033741
DEBUG 2025-07-18 20:04:41,432 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1752842012.0692668
DEBUG 2025-07-18 20:04:41,433 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1752842012.0792904
DEBUG 2025-07-18 20:04:41,435 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1752842011.9694245
DEBUG 2025-07-18 20:04:41,439 autoreload File C:\Python 3.11.9\Lib\tokenize.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,440 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\unfold\utils.py first seen with mtime 1752842032.645149
DEBUG 2025-07-18 20:04:41,441 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\utils\crypto.py first seen with mtime 1752842012.253387
DEBUG 2025-07-18 20:04:41,442 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1752842011.929252
DEBUG 2025-07-18 20:04:41,442 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1752842006.9206388
